Faction,Class,KB,D,HK,DD,HD,Rol
Horde,Warrior,4,1,23,30117,1747,dps
Alliance,Priest,4,0,16,79295,17671,dps
Horde,Shaman,1,4,25,26991,6369,dps
Horde,Priest,3,3,26,66074,16938,dps
Horde,Rogue,2,2,15,35002,2655,dps
Alliance,Warlock,7,4,17,76383,30058,dps
Horde,Warlock,2,2,26,69414,32434,dps
Alliance,Priest,0,2,14,5967,33584,heal
Horde,Demon Hunter,1,2,11,36661,24957,dps
Alliance,Warrior,4,2,14,51033,5913,dps
Alliance,Druid,0,6,4,41339,2763,dps
Horde,Priest,0,0,10,5543,44516,heal
Horde,Druid,3,0,18,46056,10488,dps
Alliance,Mage,0,3,12,29346,5065,dps
Alliance,Warlock,3,2,11,110000,19493,dps
Horde,Death Knight,1,5,17,44465,20298,dps
Horde,Shaman,2,2,20,14838,81762,heal
Alliance,Monk,0,0,12,13460,79489,heal
Horde,Mage,7,2,20,74679,11349,dps
Horde,Druid,0,1,17,5272,69559,heal
Alliance,Mage,1,1,11,39616,11059,dps
Alliance,Hunter,4,2,12,63412,4181,dps
Alliance,Paladin,1,3,8,47194,16757,dps
Horde,Druid,0,1,12,21719,24253,heal
Alliance,Priest,1,1,13,30487,50333,heal
Alliance,Warrior,1,3,4,16274,36748,dps
Horde,Death Knight,7,0,18,49866,45850,dps
Horde,Death Knight,1,1,15,44877,46855,dps
Horde,Priest,7,0,26,50293,3258,dps
Horde,Druid,0,0,15,22464,3277,dps
Alliance,Priest,0,1,4,6069,47212,heal
Horde,Warrior,4,1,25,18305,5869,dps
Alliance,Mage,0,5,2,19958,10411,dps
Horde,Paladin,2,0,26,30930,2752,dps
Horde,Death Knight,3,1,23,44733,9903,dps
Horde,Shaman,1,0,26,9903,46222,heal
Alliance,Mage,0,0,2,11558,2538,dps
Horde,Rogue,4,0,25,33904,1517,dps
Alliance,Death Knight,2,3,4,31903,8838,dps
Alliance,Warrior,0,3,2,10869,164,dps
Horde,Shaman,0,0,24,2586,13680,heal
Horde,Rogue,0,3,17,31081,8095,dps
Horde,Shaman,1,1,21,19440,165,dps
Alliance,Death Knight,2,2,4,23606,15150,dps
Alliance,Warrior,2,4,3,24925,5477,dps
Alliance,Monk,0,4,4,520,27241,heal
Alliance,Death Knight,4,3,29,104000,17438,dps
Alliance,Rogue,4,1,26,36320,9261,dps
Alliance,Priest,2,5,25,12103,68259,heal
Horde,Rogue,0,2,23,13909,9234,dps
Alliance,Priest,7,4,28,73185,22188,dps
Horde,Monk,6,3,27,68056,27223,dps
Horde,Shaman,1,4,23,10614,119000,heal
Alliance,Shaman,6,5,30,93721,12013,dps
Alliance,Mage,1,3,30,49899,10739,dps
Alliance,Death Knight,1,0,18,12952,7036,dps
Horde,Warrior,5,3,23,55932,17877,dps
Horde,Shaman,5,3,26,70027,5397,dps
Horde,Priest,0,3,26,272,79726,heal
Horde,Hunter,4,4,23,83092,9739,dps
Horde,Warrior,0,1,10,8670,161,dps
Horde,Warrior,1,0,10,12331,9887,dps
Horde,Shaman,0,2,10,0,34461,heal
Alliance,Death Knight,6,1,27,72057,15091,dps
Alliance,Warlock,2,3,29,44982,23095,dps
Alliance,Priest,0,2,28,3011,60718,heal
Horde,Hunter,0,9,7,12690,3914,dps
Horde,Hunter,1,6,9,24268,4855,dps
Alliance,Druid,0,0,45,4719,39014,heal
Alliance,Warlock,9,1,46,65209,24585,dps
Horde,Death Knight,0,5,9,32829,5580,dps
Alliance,Hunter,4,2,45,19330,2813,dps
Horde,Rogue,2,5,12,29343,3125,dps
Horde,Druid,0,2,7,2637,27010,heal
Horde,Shaman,0,8,10,4867,53987,heal
Alliance,Shaman,4,1,41,36457,17876,dps
Horde,Mage,1,5,11,25866,9945,dps
Horde,Warlock,1,9,8,29725,24875,dps
Alliance,Warlock,9,2,44,40436,14150,dps
Horde,Mage,3,4,12,23596,5084,dps
Alliance,Druid,0,1,25,839,20727,heal
Alliance,Monk,9,2,48,42353,39026,dps
Alliance,Rogue,2,0,39,26556,4351,dps
Alliance,Druid,15,3,48,82954,4568,dps
Alliance,Paladin,2,0,44,1385,30214,heal
Horde,Druid,5,3,10,40427,11455,dps
Alliance,Shaman,6,7,10,31303,3313,dps
Alliance,Priest,0,5,12,4802,15801,heal
Alliance,Rogue,1,5,10,11574,8768,dps
Horde,Mage,5,2,40,25577,3771,dps
Horde,Death Knight,10,2,46,30203,11833,dps
Horde,Warrior,6,2,37,28421,6228,dps
Horde,Mage,7,1,48,32630,7234,dps
Horde,Mage,8,1,47,37857,8706,dps
Horde,Shaman,1,2,46,3663,55865,heal
Alliance,Rogue,1,6,8,11267,2047,dps
Alliance,Paladin,0,3,12,16628,5412,dps
Horde,Druid,2,1,42,27636,8714,dps
Horde,Rogue,6,1,44,15198,1431,dps
Alliance,Warlock,3,8,13,14011,12435,dps
Alliance,Hunter,2,6,12,44476,7369,dps
Horde,Warrior,6,3,39,16179,6773,dps
Horde,Warlock,0,1,50,6225,5529,dps
Alliance,Priest,1,4,12,15404,2489,dps
Alliance,Druid,1,3,10,11126,7020,dps
Alliance,Rogue,0,2,2,3434,308,dps
Horde,Warlock,2,3,34,18854,8143,dps
Alliance,Paladin,1,5,7,32645,15990,dps
Alliance,Druid,0,1,11,2396,5822,heal
Horde,Demon Hunter,7,1,29,41082,3627,dps
Horde,Demon Hunter,4,1,36,50216,6136,dps
Horde,Hunter,7,1,36,27115,2705,dps
Alliance,Hunter,4,5,11,51078,8346,dps
Horde,Shaman,0,0,36,7887,87513,heal
Alliance,Mage,1,3,11,27926,5377,dps
Alliance,Paladin,0,3,9,3609,10401,heal
Horde,Hunter,3,3,34,52228,6371,dps
Horde,Monk,1,0,22,15311,12046,dps
Alliance,Warrior,0,7,10,55846,17201,dps
Horde,Priest,7,0,36,38715,78382,heal
Alliance,Druid,2,2,11,35735,15773,dps
Horde,Warrior,1,3,23,17630,1657,dps
Horde,Paladin,4,2,32,2004,16159,heal
Alliance,Monk,1,2,7,11591,5171,dps
Alliance,Demon Hunter,2,4,10,24451,1763,dps
Alliance,Warrior,3,5,11,34120,9819,dps
Alliance,Shaman,1,3,40,3053,44130,heal
Horde,Demon Hunter,9,5,33,49080,2493,dps
Horde,Warrior,7,5,26,33087,5365,dps
Alliance,Rogue,6,2,47,16415,3386,dps
Horde,Shaman,0,4,25,7472,48106,heal
Alliance,Druid,0,4,45,778,34434,heal
Alliance,Demon Hunter,4,3,45,32057,1696,dps
Horde,Warrior,4,7,32,31141,1842,dps
Alliance,Demon Hunter,3,4,38,37113,5305,dps
Horde,Mage,2,4,21,29112,7219,dps
