Faction,Class,KB,D,HK,DD,HD,Rol
Alliance,Monk,0,1,32,516,117000,heal
Horde,Warrior,2,4,29,19886,2915,dps
Alliance,Paladin,0,3,16,16158,8072,dps
Horde,Demon Hunter,9,3,36,17010,13374,dps
Alliance,Rogue,2,6,17,10223,1022,dps
Alliance,Demon Hunter,2,5,27,18184,1077,dps
Alliance,Monk,9,5,31,26001,18171,dps
Horde,Warlock,3,3,32,27319,20566,dps
Horde,Warrior,2,3,7,7190,72,dps
Horde,Shaman,2,2,21,18661,3799,dps
Horde,Hunter,8,4,33,47819,2398,dps
Alliance,Hunter,7,2,28,32654,1827,dps
Alliance,Death Knight,3,3,26,26450,8498,dps
Horde,Shaman,1,6,27,5136,47706,heal
Alliance,Paladin,1,3,14,3918,5727,heal
Alliance,Druid,2,3,20,28567,6885,dps
Horde,Shaman,4,5,29,17411,6764,dps
Horde,Priest,5,4,24,25677,14269,dps
Alliance,Paladin,1,3,27,3320,56390,heal
Horde,Paladin,2,0,12,8004,1824,dps
Alliance,Demon Hunter,7,5,29,43702,2318,dps
Alliance,Mage,2,3,16,17842,4086,dps
Horde,Warrior,2,5,16,12875,9739,dps
Alliance,Hunter,10,2,37,39952,6818,dps
Alliance,Warlock,2,3,28,19670,15925,dps
Alliance,Demon Hunter,1,4,27,20314,2488,dps
Horde,Warrior,5,3,16,12360,897,dps
Alliance,Druid,0,3,20,1449,34559,heal
Horde,Demon Hunter,6,3,22,27615,5366,dps
Alliance,Warrior,8,3,36,33178,2201,dps
Horde,Shaman,1,6,22,7179,42196,heal
Horde,Warlock,2,5,21,22808,13292,dps
Alliance,Druid,10,1,44,43183,8469,dps
Alliance,Warrior,8,1,32,17498,3366,dps
Alliance,Paladin,5,2,40,33816,12701,dps
Horde,Death Knight,4,7,18,29558,13978,dps
Alliance,Death Knight,1,7,15,15382,8608,dps
Horde,Druid,2,4,22,29908,3776,dps
Horde,Death Knight,4,4,18,22348,12307,dps
Horde,Rogue,1,5,13,11851,2518,dps
Horde,Paladin,1,5,17,2312,24190,heal
Horde,Rogue,7,0,25,13547,2293,dps
Horde,Hunter,5,1,28,16167,1690,dps
Horde,Paladin,1,1,8,10903,4449,dps
Alliance,Priest,0,2,2,1130,13428,heal
Alliance,Rogue,0,3,1,964,2071,dps
Horde,Shaman,0,0,28,3740,36886,heal
Horde,Rogue,1,0,20,13687,1538,dps
Alliance,Hunter,1,1,2,2666,402,dps
Alliance,Rogue,0,2,4,3686,3172,dps
Horde,Paladin,7,0,26,21372,7173,dps
Alliance,Mage,1,5,3,13910,8891,dps
Alliance,Rogue,1,6,3,16141,2741,dps
Alliance,Warlock,0,4,3,23924,17004,dps
Horde,Rogue,0,2,17,8964,854,dps
Horde,Warlock,4,0,27,21642,9028,dps
Alliance,Shaman,1,5,3,7476,2542,dps
Alliance,Priest,1,2,2,9393,8427,dps
Horde,Druid,3,0,24,14931,3200,dps
Alliance,Druid,0,1,1,3326,801,dps
Horde,Paladin,4,1,23,17228,7512,dps
Alliance,Druid,0,4,9,524,23763,heal
Horde,Death Knight,5,1,27,25186,14420,dps
Horde,Demon Hunter,1,4,22,18539,594,dps
Alliance,Demon Hunter,1,3,9,13985,2410,dps
Alliance,Mage,0,5,9,14465,6638,dps
Horde,Shaman,0,2,27,3469,31656,heal
Alliance,Death Knight,1,3,10,11823,5543,dps
Alliance,Druid,0,2,5,263,19462,heal
Horde,Paladin,6,2,11,21348,7193,dps
Alliance,Druid,1,1,8,16602,3269,dps
Horde,Demon Hunter,1,0,12,15571,3013,dps
Horde,Mage,3,0,25,8107,3011,dps
Alliance,Rogue,1,2,5,6613,1813,dps
Horde,Demon Hunter,5,2,26,23585,5757,dps
Alliance,Paladin,3,3,12,17675,5534,dps
Horde,Rogue,2,1,16,7612,2420,dps
Alliance,Hunter,2,5,8,16273,3274,dps
Horde,Demon Hunter,8,0,32,28829,4829,dps
Alliance,Warrior,2,5,5,16207,5416,dps
Horde,Priest,1,1,29,8091,13856,heal
Alliance,Death Knight,6,3,58,25925,11314,dps
Alliance,Mage,6,2,57,28438,5258,dps
Alliance,Druid,8,3,55,45584,7932,dps
Alliance,Shaman,0,0,59,7664,54796,heal
Horde,Warrior,2,6,12,32693,7929,dps
Alliance,Paladin,8,0,63,36252,11032,dps
Alliance,Druid,0,0,63,519,112000,heal
Horde,Warlock,0,7,11,26600,16275,dps
Horde,Mage,0,8,11,29222,19680,dps
Horde,Paladin,1,8,13,30888,4536,dps
Horde,Demon Hunter,3,6,12,53560,3941,dps
Horde,Shaman,1,7,13,4277,26203,heal
Horde,Hunter,3,4,14,55258,1439,dps
Alliance,Warlock,7,2,53,30572,25501,dps
Alliance,Warrior,12,1,59,50490,11310,dps
Horde,Demon Hunter,4,7,11,44185,4955,dps
Alliance,Paladin,3,3,62,21305,5853,dps
Horde,Monk,0,4,11,182,19596,heal
Horde,Warlock,0,6,12,7665,7230,dps
Alliance,Rogue,12,0,63,40777,2773,dps
Alliance,Warrior,7,3,39,47600,15357,dps
Alliance,Druid,0,0,40,727,98081,heal
Horde,Monk,0,4,11,4183,77442,heal
Horde,Death Knight,1,3,14,36888,7085,dps
Horde,Druid,1,7,9,43025,5737,dps
Alliance,Paladin,7,0,40,79804,11908,dps
Horde,Shaman,0,3,9,6092,28164,heal
Alliance,Warrior,9,2,38,58892,13942,dps
Alliance,Hunter,1,3,35,30043,1733,dps
Horde,Warlock,1,1,10,54384,15453,dps
Horde,Warrior,4,6,13,51673,3985,dps
Horde,Warrior,1,4,14,43972,21916,dps
Horde,Warrior,3,5,10,52674,5553,dps
Alliance,Druid,1,0,40,2881,76860,heal
Alliance,Mage,4,0,40,39389,2558,dps
Horde,Warrior,1,6,10,40636,7398,dps
Alliance,Death Knight,5,2,39,46325,38957,dps
Horde,Shaman,0,0,6,420,21512,heal
Alliance,Death Knight,2,3,37,52797,10996,dps
Alliance,Druid,4,2,35,55274,10055,dps
Alliance,Paladin,1,3,19,28403,9156,dps
Horde,Demon Hunter,4,4,36,33317,8092,dps
Horde,Demon Hunter,3,2,41,15656,3075,dps
Horde,Mage,4,1,42,32779,8813,dps
Horde,Death Knight,5,2,38,27892,21767,dps
Alliance,Shaman,2,7,16,31373,2979,dps
Horde,Warlock,6,4,35,34928,21698,dps
Horde,Hunter,6,2,40,36875,3791,dps
Alliance,Monk,4,6,20,40171,15493,dps
Horde,Shaman,0,3,36,9444,115000,heal
Alliance,Mage,3,5,14,80459,25562,dps
Alliance,Warrior,6,6,18,58965,10083,dps
Alliance,Demon Hunter,2,3,21,18810,10863,dps
Alliance,Warrior,1,2,7,27430,3198,dps
Alliance,Warlock,1,2,4,14054,3579,dps
Horde,Demon Hunter,5,2,38,42652,6062,dps
Alliance,Paladin,2,4,17,17365,6644,dps
Alliance,Rogue,1,5,18,40260,1691,dps
Horde,Warlock,3,3,42,38129,18149,dps
Horde,Paladin,6,0,44,56388,19717,dps
Alliance,Paladin,15,3,51,110000,25344,dps
Alliance,Warlock,12,2,53,107000,33890,dps
Horde,Shaman,10,4,41,89306,13354,dps
Alliance,Hunter,9,5,48,111000,8083,dps
Horde,Paladin,8,6,39,71519,14853,dps
Horde,Warrior,8,5,41,57200,10280,dps
Horde,Druid,7,7,38,56858,4410,dps
Alliance,Death Knight,6,3,51,62616,20198,dps
Alliance,Death Knight,5,7,45,52500,14125,dps
Horde,Mage,4,4,41,75821,18728,dps
Alliance,Warrior,3,7,40,49141,5890,dps
Horde,Rogue,3,5,38,58952,3635,dps
Horde,Druid,2,6,34,24641,9937,dps
Alliance,Mage,2,6,42,40390,12718,dps
Alliance,Priest,1,1,54,32768,95948,heal
Horde,Shaman,0,8,35,10532,109000,heal
Alliance,Paladin,0,5,44,8162,31777,heal
Horde,Death Knight,0,5,35,30200,50294,dps
Alliance,Mage,0,4,41,33043,5391,dps
Horde,Druid,0,4,38,842,98411,heal
Alliance,Hunter,5,2,27,52828,4933,dps
Horde,Demon Hunter,8,1,56,78372,9397,dps
Alliance,Demon Hunter,2,8,17,67018,13042,dps
Horde,Warrior,11,3,50,61415,14373,dps
Horde,Demon Hunter,7,5,48,44773,6194,dps
Alliance,Death Knight,4,7,19,47193,17033,dps
Alliance,Druid,4,3,26,85965,12005,dps
Horde,Warlock,4,5,49,53797,32985,dps
Horde,Shaman,0,4,52,19266,76639,heal
Alliance,Mage,0,7,21,16805,5233,dps
Alliance,Priest,0,6,19,2014,20466,heal
Alliance,Shaman,1,3,26,50143,13530,dps
Horde,Druid,1,5,41,23257,10814,dps
Horde,Priest,3,0,56,20153,152000,heal
Horde,Rogue,5,3,52,57792,2635,dps
Horde,Druid,3,3,49,16615,12417,dps
Alliance,Priest,2,5,22,14164,51093,heal
Alliance,Warrior,5,7,20,66317,12336,dps
Alliance,Warrior,2,7,22,56111,6297,dps
Horde,Warrior,15,0,56,88713,14976,dps
Alliance,Demon Hunter,4,6,19,40144,2364,dps
Horde,Mage,0,2,37,19317,4111,dps
Alliance,Paladin,1,5,20,1450,21173,heal
Alliance,Warlock,3,3,25,24614,11955,dps
Alliance,Mage,0,4,16,24478,5175,dps
Horde,Mage,3,3,37,16050,5989,dps
Horde,Warrior,3,2,39,18658,10170,dps
Horde,Shaman,0,2,39,4783,49940,heal
Horde,Rogue,7,2,35,21936,4953,dps
Alliance,Demon Hunter,1,6,16,12232,4278,dps
Alliance,Death Knight,2,4,23,23452,24221,dps
Horde,Rogue,7,2,36,16219,4135,dps
Horde,Mage,6,3,39,25811,5031,dps
Horde,Warlock,7,2,39,25832,16403,dps
Alliance,Hunter,5,4,23,15034,1119,dps
Alliance,Druid,0,2,18,417,593,heal
Alliance,Rogue,5,3,21,15941,3727,dps
Horde,Warrior,5,5,37,16834,0,dps
Horde,Rogue,2,2,41,18018,3654,dps
Alliance,Warlock,2,4,23,8873,11163,dps
Horde,Rogue,4,2,30,21243,2127,dps
Alliance,Druid,7,4,28,29090,7893,dps
Horde,Rogue,2,3,35,18594,1540,dps
Horde,Warrior,10,3,34,23982,982,dps
Alliance,Druid,0,2,29,657,29445,heal
Alliance,Mage,2,5,25,18870,4399,dps
Horde,Warrior,6,3,33,29098,1119,dps
Horde,Shaman,0,4,33,7964,36776,heal
Alliance,Shaman,0,7,24,459,21956,heal
Alliance,Demon Hunter,8,4,28,39718,4707,dps
Horde,Druid,2,2,34,11218,2420,dps
Alliance,Rogue,4,1,30,15663,1121,dps
Alliance,Druid,1,2,30,408,33430,heal
Alliance,Shaman,0,0,30,7165,35460,heal
Horde,Demon Hunter,5,4,34,54877,2465,dps
Horde,Monk,3,3,30,33851,10463,dps
Horde,Warrior,3,3,33,22460,2094,dps
Horde,Monk,0,3,34,811,29869,heal
Alliance,Warrior,7,5,29,18734,743,dps
Alliance,Demon Hunter,0,4,29,14271,6498,dps
Alliance,Paladin,0,0,46,776,44074,heal
Horde,Demon Hunter,1,5,12,22140,3990,dps
Alliance,Warlock,5,0,46,23575,9552,dps
Alliance,Demon Hunter,5,1,43,14415,4208,dps
Alliance,Demon Hunter,2,3,41,11999,954,dps
Alliance,Rogue,7,2,41,15652,680,dps
Horde,Shaman,0,6,11,2161,10910,heal
Horde,Shaman,0,5,8,1813,789,dps
Horde,Rogue,2,6,11,11151,1511,dps
Alliance,Hunter,3,2,45,23767,16689,dps
Alliance,Warrior,8,2,39,9592,2314,dps
Horde,Mage,1,6,9,14868,684,dps
Horde,Rogue,0,3,11,6714,858,dps
Alliance,Rogue,3,2,39,11241,1791,dps
Alliance,Paladin,7,0,46,23275,7033,dps
Horde,Warlock,2,4,9,22391,9911,dps
Horde,Rogue,5,5,13,20230,3127,dps
Alliance,Warrior,6,1,43,21528,3270,dps
Horde,Mage,2,4,13,11738,6312,dps
Horde,Monk,10,7,26,37017,1028,dps
Alliance,Mage,1,2,51,23153,4868,dps
Horde,Rogue,4,6,25,14648,1417,dps
Alliance,Paladin,2,5,40,14447,4293,dps
Alliance,Warrior,4,3,51,20146,954,dps
Horde,Hunter,2,5,28,24702,5084,dps
Horde,Warrior,3,7,20,14067,1804,dps
Alliance,Mage,7,1,59,26239,3853,dps
Horde,Demon Hunter,2,5,26,32412,5569,dps
Alliance,Death Knight,7,6,51,27515,13645,dps
Horde,Shaman,1,2,12,6719,1310,dps
Horde,Shaman,1,6,27,4967,31241,heal
Alliance,Shaman,12,3,52,31495,11740,dps
Alliance,Rogue,6,3,54,27217,1183,dps
Alliance,Rogue,11,2,57,17946,2051,dps
Alliance,Paladin,10,3,55,35660,9172,dps
Horde,Priest,5,7,28,33481,11695,dps
Horde,Paladin,0,4,27,8769,5616,dps
Horde,Rogue,4,8,27,20585,70,dps
Alliance,Monk,0,4,55,105,66324,heal
Alliance,Priest,4,6,28,45014,8505,dps
Alliance,Hunter,2,7,28,19295,4850,dps
Horde,Monk,5,4,45,13002,8463,dps
Alliance,Rogue,2,3,31,17239,2686,dps
Alliance,Warlock,2,4,11,15464,5659,dps
Horde,Death Knight,3,2,49,10892,10115,dps
Horde,Paladin,8,1,50,41327,12071,dps
Horde,Rogue,3,6,48,16656,4192,dps
Alliance,Druid,2,0,8,8264,2812,dps
Horde,Shaman,0,2,49,5464,66158,heal
Horde,Demon Hunter,12,4,47,28853,4672,dps
Alliance,Warrior,2,7,25,8935,759,dps
Alliance,Demon Hunter,5,7,27,44477,7646,dps
Horde,Paladin,8,4,41,35243,8573,dps
Horde,Priest,0,2,45,344,41371,heal
Horde,Paladin,10,0,52,28796,5919,dps
Alliance,Paladin,0,5,26,3389,19144,heal
Alliance,Demon Hunter,2,7,20,21366,260,dps
Horde,Warlock,2,6,42,22136,19597,dps
Alliance,Warlock,8,4,29,28722,16078,dps
Alliance,Warlock,3,6,15,25219,5384,dps
Horde,Rogue,2,2,43,9855,1301,dps
Alliance,Warlock,0,0,4,8131,5667,dps
Horde,Death Knight,3,1,43,38620,7204,dps
Alliance,Shaman,3,6,15,10415,2947,dps
Horde,Demon Hunter,4,2,44,27838,4272,dps
Horde,Warrior,5,4,35,16007,2137,dps
Horde,Shaman,0,3,41,4601,42311,heal
Alliance,Death Knight,2,4,15,22344,6085,dps
Alliance,Death Knight,2,3,13,8995,5168,dps
Alliance,Death Knight,4,4,16,28500,7693,dps
Alliance,Rogue,4,5,14,14064,3306,dps
Horde,Rogue,1,1,43,10390,1553,dps
Horde,Paladin,16,0,45,35090,11090,dps
Horde,Druid,2,5,40,10537,7122,dps
Horde,Warrior,6,2,42,20952,2547,dps
Alliance,Rogue,1,5,18,12065,5445,dps
Alliance,Druid,0,3,18,861,24177,heal
Horde,Shaman,6,0,45,13205,5719,dps
Alliance,Demon Hunter,1,7,11,6843,828,dps
Alliance,Hunter,11,2,40,108000,5220,dps
Alliance,Priest,3,3,38,17345,114000,heal
Horde,Mage,0,5,34,25932,2574,dps
Alliance,Shaman,0,5,32,10381,84526,heal
Horde,Demon Hunter,6,5,28,82896,19311,dps
Horde,Death Knight,0,3,50,54630,40886,dps
Alliance,Warlock,0,4,25,14252,2515,dps
Alliance,Paladin,3,4,26,27830,18223,dps
Horde,Rogue,3,5,28,34304,4673,dps
Horde,Death Knight,13,3,53,90367,44423,dps
Alliance,Mage,1,5,21,22558,8547,dps
Alliance,Shaman,1,6,27,46366,4360,dps
Horde,Shaman,0,5,46,14366,127000,heal
Alliance,Paladin,1,5,34,75867,37212,dps
Horde,Hunter,3,2,45,65943,7335,dps
Alliance,Priest,8,3,35,86958,26805,dps
Horde,Rogue,0,4,37,24030,1692,dps
Alliance,Priest,0,3,30,2633,77562,heal
Horde,Paladin,0,3,33,35984,49038,heal
Horde,Mage,13,1,54,54259,20971,dps
Horde,Priest,2,2,50,24136,116000,heal
Alliance,Paladin,4,5,20,127000,19158,dps
Alliance,Rogue,2,6,31,40234,3371,dps
Alliance,Warrior,2,4,27,21209,8950,dps
Horde,Warrior,5,6,24,37263,12972,dps
Horde,Demon Hunter,4,4,52,53240,6766,dps
Horde,Death Knight,3,2,45,57348,29749,dps
Horde,Rogue,6,2,47,48958,19528,dps
Alliance,Shaman,5,3,36,65684,7134,dps
Alliance,Mage,10,3,40,104000,4278,dps
Alliance,Mage,8,4,37,87559,13923,dps
Horde,Paladin,0,0,7,103,2288,heal
Horde,Hunter,1,7,11,74415,7212,dps
Alliance,Warrior,12,2,39,80285,11346,dps
Alliance,Druid,0,3,42,1368,175000,heal
Horde,Mage,2,3,18,152000,4749,dps
Horde,Priest,0,2,9,7749,83060,heal
Alliance,Mage,2,2,53,64224,10864,dps
Alliance,Monk,2,2,36,3490,187000,heal
Horde,Shaman,0,7,16,20477,143000,heal
Horde,Paladin,1,1,4,11769,3325,dps
Alliance,Mage,2,0,51,111000,4314,dps
Alliance,Druid,6,0,51,82081,11540,dps
Alliance,Warrior,4,1,46,125000,18200,dps
Horde,Monk,3,6,11,92806,35406,dps
Horde,Mage,1,4,14,83602,23018,dps
Horde,Druid,0,1,10,35208,17948,dps
Alliance,Death Knight,4,1,44,186000,21857,dps
Alliance,Warrior,6,4,25,66806,4860,dps
Horde,Mage,0,3,9,20849,4178,dps
Horde,Warrior,5,3,18,181000,37231,dps
Horde,Warlock,4,5,13,119000,33349,dps
Alliance,Druid,0,1,46,9630,168000,heal
Horde,Rogue,2,5,17,49837,10297,dps
Alliance,Demon Hunter,1,1,47,39138,21708,dps
Alliance,Shaman,0,1,36,0,143000,heal
Horde,Shaman,2,1,19,26670,120000,heal
Horde,Priest,0,5,12,5332,225000,heal
Alliance,Priest,2,2,42,214000,33147,dps
Alliance,Rogue,3,3,24,34426,2802,dps
Horde,Paladin,3,3,18,58874,29732,dps
Horde,Warrior,1,4,19,33188,42355,dps
Alliance,Druid,7,4,36,69535,4134,dps
Horde,Paladin,4,5,18,60889,21554,dps
Horde,Rogue,1,8,17,33717,1863,dps
Alliance,Demon Hunter,14,2,45,92862,9878,dps
Alliance,Death Knight,3,2,43,47029,24575,dps
Horde,Shaman,2,6,16,6920,72906,heal
Alliance,Paladin,4,4,42,97230,23473,dps
Alliance,Rogue,9,1,41,54439,9108,dps
Horde,Death Knight,1,8,13,38732,14942,dps
Horde,Paladin,0,2,18,854,46905,heal
Alliance,Warlock,5,0,45,77695,29075,dps
Alliance,Mage,5,1,46,59585,10493,dps
Alliance,Paladin,0,1,42,3569,31105,heal
Alliance,Priest,0,3,39,0,56190,heal
Horde,Mage,4,7,15,37121,8251,dps
Horde,Shaman,2,4,14,27238,13950,dps
Alliance,Rogue,4,2,43,39846,11276,dps
Horde,Druid,1,4,10,14547,7167,dps
Alliance,Warlock,2,1,9,19175,11495,dps
Horde,Paladin,1,0,28,32778,16829,dps
Alliance,Priest,1,3,11,9731,25164,heal
Alliance,Druid,0,2,11,0,27090,heal
Horde,Rogue,5,0,30,22297,6474,dps
Horde,Shaman,0,0,29,4351,29830,heal
Horde,Monk,6,3,27,21183,5864,dps
Horde,Demon Hunter,4,2,22,34860,5997,dps
Alliance,Druid,2,6,7,12566,3388,dps
Alliance,Mage,0,3,10,8487,4184,dps
Alliance,Monk,0,3,9,231,18752,heal
Horde,Shaman,0,1,28,3344,22031,heal
Alliance,Hunter,1,2,9,25034,2712,dps
Horde,Demon Hunter,0,3,25,18449,1208,dps
Horde,Mage,4,2,28,18103,3524,dps
Alliance,Paladin,4,2,11,18293,5895,dps
Alliance,Druid,1,6,5,18722,3017,dps
Horde,Priest,2,0,30,24230,4600,dps
Horde,Warrior,9,0,27,29834,1206,dps
Alliance,Demon Hunter,0,3,8,7371,1094,dps
Alliance,Monk,0,3,8,627,33250,heal
Horde,Hunter,1,3,11,7047,1574,dps
Alliance,Monk,0,1,6,10312,4178,dps
Alliance,Paladin,2,2,9,15921,5745,dps
Horde,Priest,2,0,22,16695,22637,heal
Horde,Monk,3,0,22,15795,1885,dps
Horde,Shaman,1,0,22,2259,23537,heal
Horde,Warlock,2,1,21,24101,6103,dps
Horde,Rogue,2,3,19,12530,1544,dps
Horde,Priest,1,1,22,9411,15502,heal
Alliance,Warrior,2,1,10,11506,2010,dps
Alliance,Monk,0,2,8,11,44107,heal
Horde,Druid,1,1,21,31688,3559,dps
Alliance,Paladin,1,3,8,25819,4506,dps
Alliance,Paladin,0,4,9,550,21572,heal
Alliance,Warlock,2,3,8,22348,8949,dps
Alliance,Warlock,0,1,9,2344,1212,dps
Alliance,Rogue,2,2,9,20121,5539,dps
Horde,Demon Hunter,5,0,22,51111,1815,dps
Horde,Warrior,4,1,17,13033,2667,dps
Alliance,Hunter,0,1,3,10996,2777,dps
Horde,Druid,0,0,29,2655,50557,heal
Alliance,Death Knight,1,3,3,16115,8601,dps
Horde,Shaman,0,1,21,3084,16988,heal
Horde,Warlock,2,0,32,25122,20017,dps
Alliance,Priest,0,4,4,758,69932,heal
Alliance,Hunter,0,6,3,17776,4451,dps
Alliance,Hunter,0,4,2,24289,7469,dps
Alliance,Demon Hunter,1,4,2,26889,2441,dps
Horde,Hunter,2,0,26,14930,0,dps
Alliance,Druid,0,2,4,16146,10727,dps
Horde,Paladin,3,0,26,23179,10309,dps
Alliance,Paladin,0,2,4,532,18877,heal
Alliance,Druid,1,2,4,19423,3462,dps
Horde,Hunter,8,0,31,40339,3033,dps
Horde,Paladin,2,1,25,38413,4034,dps
Horde,Warlock,2,1,23,7834,7995,dps
Alliance,Hunter,1,3,4,13804,4858,dps
Horde,Shaman,5,1,25,41502,15860,dps
Horde,Warrior,7,0,28,27138,4993,dps
Alliance,Paladin,0,7,17,25707,8513,dps
Alliance,Demon Hunter,6,2,23,52817,6649,dps
Horde,Mage,0,3,42,28290,3489,dps
Horde,Priest,9,2,44,67718,29004,dps
Alliance,Demon Hunter,0,5,17,16550,2846,dps
Horde,Rogue,5,1,45,25108,2475,dps
Horde,Warlock,8,2,41,39582,32892,dps
Alliance,Death Knight,0,6,18,18019,19339,dps
Horde,Demon Hunter,3,0,43,31192,11082,dps
Horde,Shaman,1,6,42,6339,59138,heal
Alliance,Mage,4,3,22,22585,8329,dps
Alliance,Druid,0,4,18,200,49004,heal
Alliance,Hunter,6,4,21,74614,3830,dps
Horde,Priest,10,1,45,65592,42314,dps
Horde,Priest,4,2,38,46117,34324,dps
Alliance,Shaman,0,8,13,43728,222,dps
Horde,Shaman,4,4,37,38664,15802,dps
Alliance,Paladin,1,2,14,17248,7764,dps
Alliance,Warrior,8,5,21,75974,18398,dps
Horde,Shaman,1,4,44,24701,10861,dps
Alliance,Demon Hunter,5,0,45,97774,9828,dps
Alliance,Mage,9,2,43,101000,7752,dps
Alliance,Druid,9,0,43,46814,7998,dps
Alliance,Demon Hunter,2,3,38,20282,23129,dps
Horde,Rogue,0,2,14,23622,15360,dps
Horde,Monk,1,5,13,13080,91131,heal
Alliance,Mage,1,3,41,33715,4679,dps
Alliance,Hunter,5,5,39,62260,12390,dps
Horde,Druid,2,5,15,76711,17624,dps
Alliance,Shaman,2,3,33,10932,106000,heal
Horde,Rogue,0,3,18,42584,11807,dps
Horde,Hunter,1,5,13,34785,6793,dps
Alliance,Druid,1,1,44,5553,166000,heal
Alliance,Hunter,6,0,45,86061,9634,dps
Horde,Death Knight,3,5,14,61492,38798,dps
Horde,Mage,6,5,13,85944,9637,dps
Horde,Priest,0,4,12,20109,92959,heal
Horde,Warrior,4,9,14,71378,7362,dps
Alliance,Warrior,6,1,43,51626,10665,dps
Horde,Warlock,1,3,15,35339,7279,dps
Horde,Mage,0,1,17,22143,3281,dps
Horde,Mage,1,0,3,7494,3247,dps
Alliance,Demon Hunter,2,2,18,38970,7722,dps
Horde,Hunter,2,1,17,17714,1851,dps
Horde,Shaman,1,3,12,8477,44467,heal
Horde,Mage,6,2,17,36622,3478,dps
Alliance,Warrior,2,3,14,25597,4139,dps
Alliance,Priest,0,0,19,6337,56269,heal
Alliance,Priest,2,2,19,18235,6863,dps
Alliance,Demon Hunter,0,1,17,13306,974,dps
Alliance,Warrior,4,2,16,10912,8847,dps
Alliance,Priest,3,3,15,45563,18001,dps
Horde,Paladin,2,3,11,50249,7529,dps
Alliance,Druid,0,1,11,418,18912,heal
Alliance,Priest,6,3,16,62836,16103,dps
Horde,Mage,2,4,14,32945,7101,dps
Alliance,Warrior,3,3,20,27658,9190,dps
Horde,Warrior,2,3,11,30239,8984,dps
Horde,Warlock,1,2,17,26684,13666,dps
Horde,Priest,0,2,18,1698,46505,heal
Alliance,Druid,0,0,16,4830,55789,heal
Alliance,Rogue,0,4,5,21946,2036,dps
Horde,Demon Hunter,1,1,16,23722,7194,dps
Alliance,Demon Hunter,0,3,14,25126,304,dps
Alliance,Demon Hunter,3,3,16,47351,5682,dps
Horde,Warrior,5,4,17,41586,7895,dps
Horde,Death Knight,4,5,15,72716,33793,dps
Alliance,Hunter,6,1,18,63642,5939,dps
Horde,Shaman,1,3,16,3506,34528,heal
Horde,Shaman,1,0,20,3621,51821,heal
Alliance,Mage,2,3,15,8895,3802,dps
Horde,Hunter,2,0,17,29710,1346,dps
Horde,Monk,3,2,13,37836,12401,dps
Alliance,Mage,2,3,16,43180,6972,dps
Horde,Hunter,4,1,14,56188,8653,dps
Alliance,Priest,0,1,18,9967,101000,heal
Alliance,Shaman,5,1,16,34760,9172,dps
Horde,Monk,2,0,19,23447,10391,dps
Horde,Warlock,2,2,16,23480,8633,dps
Alliance,Warlock,0,6,5,25204,12891,dps
Alliance,Hunter,2,3,35,47816,3734,dps
Horde,Hunter,2,4,11,61727,7806,dps
Alliance,Shaman,7,3,44,63438,12212,dps
Alliance,Paladin,3,2,44,29177,13799,dps
Horde,Druid,1,5,12,58505,13698,dps
Horde,Hunter,0,1,9,28690,3583,dps
Horde,Druid,0,3,3,31933,553,dps
Alliance,Druid,1,0,48,4115,112000,heal
Horde,Shaman,0,6,14,13297,75994,heal
Alliance,Hunter,9,3,34,49790,13549,dps
Alliance,Warrior,9,0,44,57203,11294,dps
Alliance,Demon Hunter,6,1,44,49709,8170,dps
Alliance,Demon Hunter,4,1,47,53810,18656,dps
Horde,Paladin,0,2,10,1832,27101,heal
Alliance,Hunter,7,2,41,68436,6207,dps
Horde,Death Knight,4,6,13,62293,32154,dps
Horde,Hunter,0,8,12,28793,8016,dps
Horde,Rogue,6,5,13,30749,7144,dps
Alliance,Paladin,0,0,39,11367,73497,heal
Horde,Warrior,1,7,13,41640,8967,dps
Horde,Priest,1,4,8,13921,87910,heal
Alliance,Druid,3,0,28,50860,7164,dps
Alliance,Paladin,0,1,21,15657,2153,dps
Alliance,Monk,0,3,23,0,52110,heal
Alliance,Hunter,4,0,29,61922,4291,dps
Alliance,Priest,1,1,19,6425,29085,heal
Horde,Rogue,1,2,8,14917,3476,dps
Horde,Shaman,0,5,5,3842,62007,heal
Alliance,Rogue,2,3,20,18830,3017,dps
Horde,Death Knight,0,4,7,36793,19860,dps
Alliance,Rogue,6,1,28,50888,9844,dps
Alliance,Demon Hunter,6,0,19,29894,4117,dps
Horde,Mage,0,2,6,15570,4170,dps
Horde,Demon Hunter,2,3,9,32772,1879,dps
Alliance,Death Knight,4,0,26,61077,24808,dps
Horde,Demon Hunter,0,0,0,5001,733,dps
Alliance,Death Knight,6,0,26,61517,9761,dps
Horde,Rogue,2,5,8,15955,2241,dps
Horde,Monk,7,4,20,4700,1538,dps
Horde,Druid,2,2,20,16909,3091,dps
Alliance,Warrior,1,4,23,9736,281,dps
Alliance,Druid,0,2,25,27529,15028,dps
Horde,Mage,0,3,15,18951,6043,dps
Horde,Warrior,0,2,24,23575,14533,dps
Horde,Warrior,3,7,20,28060,3540,dps
Alliance,Monk,3,2,22,19528,3417,dps
Alliance,Druid,1,0,22,6670,59085,heal
Alliance,Druid,2,2,21,1810,45132,heal
Horde,Shaman,0,3,23,7340,43717,heal
Horde,Shaman,9,5,24,47707,1239,dps
Horde,Hunter,5,3,26,27884,2194,dps
